product_key,brand,product_name,old_brand_slug,new_brand_slug,reason,provenance,status
arden|grange_adult_chicken__rice|dry,Arden,Grange Adult Chicken  Rice,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_adult_grain_free_duck|unknown,Arden,Grange Adult Grain Free Duck,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_adult_grain_free_lamb|unknown,Arden,Grange Adult Grain Free Lamb,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_adult_grain_free_salmon|unknown,Arden,Grange Adult Grain Free Salmon,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_adult_grain_free_turkey|unknown,Arden,Grange Adult Grain Free Turkey,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_adult_lamb__rice|dry,Arden,Grange Adult Lamb  Rice,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_adult_large_breed_sensitive|unknown,Arden,Grange Adult Large Breed Sensitive,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_adult_light_chicken__rice|dry,Arden,Grange Adult Light Chicken  Rice,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_adult_mini_lamb__rice|dry,Arden,Grange Adult Mini Lamb  Rice,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_adult_pork__rice|unknown,Arden,Grange Adult Pork  Rice,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_adult_premium_chicken__rice|dry,Arden,Grange Adult Premium Chicken  Rice,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_adult_prestige_chicken|dry,Arden,Grange Adult Prestige Chicken,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_adult_salmon__rice|dry,Arden,Grange Adult Salmon  Rice,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_grain_free_adult_duck__superfoods|unknown,Arden,Grange Grain Free Adult Duck  Superfoods,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_grain_free_adult_lamb__superfoods|unknown,Arden,Grange Grain Free Adult Lamb  Superfoods,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_grain_free_adult_turkey__superfoods|unknown,Arden,Grange Grain Free Adult Turkey  Superfoods,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_grain_free_light/senior|unknown,Arden,Grange Grain Free Light/Senior,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_grain_free_puppy|unknown,Arden,Grange Grain Free Puppy,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_large_breed|dry,Arden,Grange Large Breed,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_mini_adult_chicken__rice|unknown,Arden,Grange Mini Adult Chicken  Rice,arden,arden_grange,Split brand detected,foods_canonical,PENDING
"arden|grange_partners_chicken,_rice__veg|wet",Arden,"Grange Partners Chicken, Rice  Veg",arden,arden_grange,Split brand detected,foods_canonical,PENDING
"arden|grange_partners_lamb,_rice__veg|wet",Arden,"Grange Partners Lamb, Rice  Veg",arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_partners_sensitive_adult|unknown,Arden,Grange Partners Sensitive Adult,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_performance_adult|unknown,Arden,Grange Performance Adult,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_puppy_junior_chicken__rice|dry,Arden,Grange Puppy Junior Chicken  Rice,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_puppy_junior_large_breed_chicken__rice|dry,Arden,Grange Puppy Junior Large Breed Chicken  Rice,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_senior_chicken__rice|dry,Arden,Grange Senior Chicken  Rice,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_sensitive_adult|dry,Arden,Grange Sensitive Adult,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_sensitive_light/senior|unknown,Arden,Grange Sensitive Light/Senior,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_sensitive_mini_adult|unknown,Arden,Grange Sensitive Mini Adult,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_sensitive_puppy/junior|unknown,Arden,Grange Sensitive Puppy/Junior,arden,arden_grange,Split brand detected,foods_canonical,PENDING
arden|grange_weaning/puppy|unknown,Arden,Grange Weaning/Puppy,arden,arden_grange,Split brand detected,foods_canonical,PENDING
barking|heads_all_hounder_bowl_lickin_goodness_chicken|unknown,Barking,Heads All Hounder Bowl Lickin Goodness Chicken,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_all_hounder_bowl_lickin_goodness_lamb|unknown,Barking,Heads All Hounder Bowl Lickin Goodness Lamb,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_all_hounder_fat_dog_slim|unknown,Barking,Heads All Hounder Fat Dog Slim,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_all_hounder_fuss_pot_duck|unknown,Barking,Heads All Hounder Fuss Pot Duck,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_all_hounder_golden_years|unknown,Barking,Heads All Hounder Golden Years,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_all_hounder_hair_necessities|unknown,Barking,Heads All Hounder Hair Necessities,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_all_hounder_puppy_days_turkey|unknown,Barking,Heads All Hounder Puppy Days Turkey,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_all_hounder_tummy_lovin_care_fish|unknown,Barking,Heads All Hounder Tummy Lovin Care Fish,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_beef_waggington_wet|wet,Barking,Heads Beef Waggington Wet,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_big_foot_bowl_lickin_chicken|dry,Barking,Heads Big Foot Bowl Lickin Chicken,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_big_foot_chop_lickin_lamb|dry,Barking,Heads Big Foot Chop Lickin Lamb,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_big_foot_golden_years|unknown,Barking,Heads Big Foot Golden Years,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_big_foot_puppy_days|dry,Barking,Heads Big Foot Puppy Days,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_bowl_lickin_chicken_wet|wet,Barking,Heads Bowl Lickin Chicken Wet,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_bowl_lickin_chicken|dry,Barking,Heads Bowl Lickin Chicken,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_chop_lickin_lamb_wet|wet,Barking,Heads Chop Lickin Lamb Wet,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_chop_lickin_lamb|dry,Barking,Heads Chop Lickin Lamb,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_doggylicious_duck|dry,Barking,Heads Doggylicious Duck,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_fat_dog_slim_wet|wet,Barking,Heads Fat Dog Slim Wet,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_fat_dog_slim|dry,Barking,Heads Fat Dog Slim,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_fish_n_delish|dry,Barking,Heads Fish N Delish,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_golden_years_chicken|dry,Barking,Heads Golden Years Chicken,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_golden_years_wet|wet,Barking,Heads Golden Years Wet,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_little_paws_bowl_lickin_chicken|dry,Barking,Heads Little Paws Bowl Lickin Chicken,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_little_paws_chop_lickin_lamb|dry,Barking,Heads Little Paws Chop Lickin Lamb,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_little_paws_fuss_pot_duck|dry,Barking,Heads Little Paws Fuss Pot Duck,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_little_paws_golden_years|unknown,Barking,Heads Little Paws Golden Years,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_plant_powered_pooches|dry,Barking,Heads Plant Powered Pooches,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_pooched_salmon|dry,Barking,Heads Pooched Salmon,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_puppy_days_wet|wet,Barking,Heads Puppy Days Wet,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_puppy_days|dry,Barking,Heads Puppy Days,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_top_dog_turkey_wet|wet,Barking,Heads Top Dog Turkey Wet,barking,barking_heads,Split brand detected,foods_canonical,PENDING
barking|heads_top_dog_turkey|dry,Barking,Heads Top Dog Turkey,barking,barking_heads,Split brand detected,foods_canonical,PENDING
james|wellbeloved_adult_chicken__rice|unknown,James,Wellbeloved Adult Chicken  Rice,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_adult_chicken__turkey_high_protein|unknown,James,Wellbeloved Adult Chicken  Turkey High Protein,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_adult_lamb_with_sweet_potato__chia_superfoods|dry,James,Wellbeloved Adult Lamb with Sweet Potato  Chia Sup,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_adult_large_breed_chicken__rice|unknown,James,Wellbeloved Adult Large Breed Chicken  Rice,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_adult_small_breed_chicken__rice|unknown,James,Wellbeloved Adult Small Breed Chicken  Rice,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_adult_small_breed_turkey_with_rice_pouch|unknown,James,Wellbeloved Adult Small Breed Turkey with Rice Pou,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_adult_turkey_with_kale__quinoa_superfoods|dry,James,Wellbeloved Adult Turkey with Kale  Quinoa Superfo,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_adult_turkey_with_rice|wet,James,Wellbeloved Adult Turkey with Rice,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_chicken__rice_in_loaf_adult|wet,James,Wellbeloved Chicken  Rice in Loaf Adult,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_duck__rice_adult|dry,James,Wellbeloved Duck  Rice Adult,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_duck__rice_large_breed|dry,James,Wellbeloved Duck  Rice Large Breed,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_duck__rice_senior|dry,James,Wellbeloved Duck  Rice Senior,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_duck__rice_small_breed|dry,James,Wellbeloved Duck  Rice Small Breed,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_fish__rice_adult|dry,James,Wellbeloved Fish  Rice Adult,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_fish__rice_large_breed|dry,James,Wellbeloved Fish  Rice Large Breed,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_fish__rice_puppy|dry,James,Wellbeloved Fish  Rice Puppy,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_fish__rice_senior|dry,James,Wellbeloved Fish  Rice Senior,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_grain_free_adult_lamb__chicken|unknown,James,Wellbeloved Grain Free Adult Lamb  Chicken,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_grain_free_fish__vegetables|dry,James,Wellbeloved Grain Free Fish  Vegetables,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_grain_free_lamb__vegetables_senior|dry,James,Wellbeloved Grain Free Lamb  Vegetables Senior,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_grain_free_lamb__vegetables|dry,James,Wellbeloved Grain Free Lamb  Vegetables,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_grain_free_senior_lamb__veg|unknown,James,Wellbeloved Grain Free Senior Lamb  Veg,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_grain_free_senior_turkey__veg|unknown,James,Wellbeloved Grain Free Senior Turkey  Veg,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_grain_free_turkey__vegetables_puppy/_junior|dry,James,Wellbeloved Grain Free Turkey  Vegetables Puppy/ J,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_grain_free_turkey__vegetables_small_breed|dry,James,Wellbeloved Grain Free Turkey  Vegetables Small Br,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_grain_free_turkey__vegetables|dry,James,Wellbeloved Grain Free Turkey  Vegetables,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_grain_free_turkey_in_gravy_adult|wet,James,Wellbeloved Grain Free Turkey in Gravy Adult,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_lamb__rice_adult|dry,James,Wellbeloved Lamb  Rice Adult,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_lamb__rice_junior|dry,James,Wellbeloved Lamb  Rice Junior,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_lamb__rice_large_breed_adult|dry,James,Wellbeloved Lamb  Rice Large Breed Adult,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_lamb__rice_puppy|dry,James,Wellbeloved Lamb  Rice Puppy,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_lamb__rice_senior|dry,James,Wellbeloved Lamb  Rice Senior,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_lamb__rice_small_breed_adult|dry,James,Wellbeloved Lamb  Rice Small Breed Adult,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_light_lamb__rice_adult|dry,James,Wellbeloved Light Lamb  Rice Adult,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_light_turkey__rice_adult|dry,James,Wellbeloved Light Turkey  Rice Adult,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_plant_power_adult_lamb__lentils|unknown,James,Wellbeloved Plant Power Adult Lamb  Lentils,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_puppy_chicken__rice|unknown,James,Wellbeloved Puppy Chicken  Rice,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_puppy/junior_turkey_with_kale__quinoa_superfoods|dry,James,Wellbeloved Puppy/Junior Turkey with Kale  Quinoa ,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_senior_chicken__rice|unknown,James,Wellbeloved Senior Chicken  Rice,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_turkey__rice_adult|dry,James,Wellbeloved Turkey  Rice Adult,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_turkey__rice_in_loaf_adult|wet,James,Wellbeloved Turkey  Rice in Loaf Adult,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_turkey__rice_junior|dry,James,Wellbeloved Turkey  Rice Junior,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_turkey__rice_large_breed|dry,James,Wellbeloved Turkey  Rice Large Breed,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_turkey__rice_puppy|dry,James,Wellbeloved Turkey  Rice Puppy,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_turkey__rice_senior|dry,James,Wellbeloved Turkey  Rice Senior,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_turkey__rice_small_breed_senior|dry,James,Wellbeloved Turkey  Rice Small Breed Senior,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_turkey__rice_small_breed|dry,James,Wellbeloved Turkey  Rice Small Breed,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
james|wellbeloved_turkey_in_gravy_puppy/junior|wet,James,Wellbeloved Turkey in Gravy Puppy/Junior,james,james_wellbeloved,Split brand detected,foods_canonical,PENDING
lilys|kitchen_an_english_garden_party|unknown,Lilys,Kitchen An English Garden Party,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_beef_goulash|unknown,Lilys,Kitchen Beef Goulash,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_beef_with_ancient_grains|unknown,Lilys,Kitchen Beef with Ancient Grains,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_breakfast_crunch|unknown,Lilys,Kitchen Breakfast Crunch,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_carnival_chicken|unknown,Lilys,Kitchen Carnival Chicken,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_chicken__duck_small_breed|unknown,Lilys,Kitchen Chicken  Duck Small Breed,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_chicken__salmon_puppy|unknown,Lilys,Kitchen Chicken  Salmon Puppy,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_chicken__turkey_casserole|wet,Lilys,Kitchen Chicken  Turkey Casserole,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_chicken_with_ancient_grains|unknown,Lilys,Kitchen Chicken with Ancient Grains,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_coronation_chicken|unknown,Lilys,Kitchen Coronation Chicken,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_cottage_pie|wet,Lilys,Kitchen Cottage Pie,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_countryside_casserole_chicken__duck|dry,Lilys,Kitchen Countryside Casserole Chicken  Duck,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_fish__chips|unknown,Lilys,Kitchen Fish  Chips,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_fishy_fish_pie|wet,Lilys,Kitchen Fishy Fish Pie,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_great_british_breakfast|wet,Lilys,Kitchen Great British Breakfast,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_hocus_pocus_stew|unknown,Lilys,Kitchen Hocus Pocus Stew,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_lamb_hotpot|unknown,Lilys,Kitchen Lamb Hotpot,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_lamb_tagine|unknown,Lilys,Kitchen Lamb Tagine,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_lean_machine|unknown,Lilys,Kitchen Lean Machine,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_love__pride|unknown,Lilys,Kitchen Love  Pride,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_mighty_burrito_bowl_with_jackfruit__red_peppers|unknown,Lilys,Kitchen Mighty Burrito Bowl with Jackfruit  Red Pe,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_organic_beef_supper|wet,Lilys,Kitchen Organic Beef Supper,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_organic_chicken__vegetable|dry,Lilys,Kitchen Organic Chicken  Vegetable,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_organic_chicken_supper|wet,Lilys,Kitchen Organic Chicken Supper,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_organic_lamb_supper|unknown,Lilys,Kitchen Organic Lamb Supper,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_pasta_al_ragu|unknown,Lilys,Kitchen Pasta Al Ragu,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_puppy_chicken_dinner|wet,Lilys,Kitchen Puppy Chicken Dinner,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_puppy_organic_dinner|wet,Lilys,Kitchen Puppy Organic Dinner,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_rest_up_recipe|unknown,Lilys,Kitchen Rest up Recipe,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_senior_recipe|wet,Lilys,Kitchen Senior Recipe,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
"lilys|kitchen_shepherds_pie_with_lamb,_potatoes__parsley|unknown",Lilys,"Kitchen Shepherds Pie with Lamb, Potatoes  Parsley",lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_springtime_stew|unknown,Lilys,Kitchen Springtime Stew,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_sunday_lunch_small_dogs|unknown,Lilys,Kitchen Sunday Lunch Small Dogs,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_sunday_lunch|unknown,Lilys,Kitchen Sunday Lunch,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_surf__turf|unknown,Lilys,Kitchen Surf  Turf,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_three_bird_feast|unknown,Lilys,Kitchen Three Bird Feast,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_turkey__duck_puppy_recipe|unknown,Lilys,Kitchen Turkey  Duck Puppy Recipe,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_turkey__trout_senior|unknown,Lilys,Kitchen Turkey  Trout Senior,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_ultimate_chicken__salmon|unknown,Lilys,Kitchen Ultimate Chicken  Salmon,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_ultimate_chicken_dinner|unknown,Lilys,Kitchen Ultimate Chicken Dinner,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
lilys|kitchen_ultimate_steak_dinner|unknown,Lilys,Kitchen Ultimate Steak Dinner,lilys,lilys_kitchen,Split brand detected,foods_canonical,PENDING
