product_key,brand,product_name,form,life_stage,ingredients_tokens
acana|acana_adult_dog_recipe_(grain-free)|dry,ACANA,ACANA Adult Dog Recipe (Grain-Free),dry,adult,"['Deboned chicken', 'Chicken meal', 'Turkey meal', 'Whole peas', 'Whole lentils']"
acana|acana_free_run_duck|dry,Acana,Acana Free Run Duck,dry,adult,"['fresh duck', 'duck meat meal', 'whole green peas', 'whole red lentils', 'fresh duck giblets (liver', 'heart', 'kidney)', 'duck fat', 'fresh pears', 'whole garbanzo beans', 'whole green lentils', 'whole yellow peas', 'dried duck cartilage', 'lentil fibre', 'marine algae', 'fresh whole butternut squash', 'fresh whole pumpkin', 'dried brown kelp', 'freeze-dried duck liver', 'salt', 'fresh whole cranberries', 'fresh whole blueberries', 'chicory root', 'turmeric root', 'milk thistle', 'burdock root', 'lavender', 'marshmallow root', 'rosehips', 'enterococcus faecium. supplements: vitamin e', 'zinc chelate', 'copper chelate.']"
acana|acana_grass-fed_lamb|dry,Acana,Acana Grass-Fed Lamb,dry,adult,"['raw lamb', 'lamb meal', 'whole green peas', 'whole red lentils', 'raw lamb liver', 'canola oil', 'fresh apples', 'whole chickpeas', 'whole green lentils', 'whole yellow peas', 'lentil fibre', 'pea starch', 'sunflower oil', 'algae', 'raw lamb tripe', 'raw lamb kidney', 'fresh whole butternut squash', 'fresh whole pumpkin', 'dried kelp', 'salt', 'dried chicory root', 'whole cranberries', 'whole blueberries', 'turmeric', 'milk thistle', 'burdock root', 'lavender', 'marshmallow root', 'rosehips.']"
acana|acana_highest_protein_grasslands|dry,Acana,Acana Highest Protein Grasslands,dry,adult,"['raw lamb', 'raw duck', 'eggs', 'lamb meal', 'herring meal', 'turkey meal', 'whole green peas', 'whole red lentils', 'whole chickpeas', 'raw freshwater lake fish*', 'fish oil', 'raw lamb liver', 'duck liver', 'raw turkey', 'whole green lentils', 'whole pinto beans', 'whole yellow peas', 'lentil fibre', 'chicken fat', 'pea starch', 'dried kelp', 'fresh whole pumpkin', 'fresh whole butternut squash', 'fresh whole carrots', 'fresh whole apples', 'fresh whole pears', 'fresh whole zucchini', 'dried chicory root', 'freeze-dried duck and liver', 'freeze-dried lamb and liver', 'fresh kale', 'fresh spinach', 'fresh turnip greens', 'fresh beet greens', 'whole cranberries', 'whole blueberries', 'whole saskatoon berries', 'turmeric', 'milk thistle', 'burdock root', 'lavender', 'marshmallow root', 'rosehips. *varied mix of raw tullibee', 'whitefish', 'northern pike', 'and mullet']"
acana|acana_highest_protein_pacifica|dry,Acana,Acana Highest Protein Pacifica,dry,adult,"['raw whole herring', 'raw whole mackerel', 'raw flounder', 'herring meal', 'mackerel meal', 'blue whiting meal', 'whole green peas', 'whole red lentils', 'whole chickpeas', 'whole green lentils', 'fish oil', 'raw whole hake', 'raw whole rockfish', 'whole pinto beans', 'whole yellow peas', 'pea starch', 'sunflower oil', 'lentil fibre', 'dried kelp', 'freeze-dried cod and liver', 'fresh whole pumpkin', 'fresh whole butternut squash', 'fresh whole carrots', 'fresh whole apples', 'fresh whole pears', 'fresh whole zucchini', 'dried chicory root', 'fresh kale', 'fresh spinach', 'fresh turnip greens', 'fresh beet greens', 'whole cranberries', 'whole blueberries', 'whole saskatoon berries', 'turmeric', 'milk thistle', 'burdock root', 'lavender', 'marshmallow root', 'rosehips.']"
acana|acana_light__fit_recipe|dry,Acana,Acana Light  fit Recipe,dry,adult,"['fresh chicken', 'chicken meal', 'whole red lentils', 'whole green peas', 'lentil fibre', 'fresh chicken giblets (liver', 'heart)', 'turkey meal', 'fresh eggs', 'raw hake', 'whole chickpeas', 'whole green lentils', 'whole yellow peas', 'pea starch', 'herring meal', 'chicken fat', 'fish oil', 'raw turkey livers', 'salt', 'dried kelp', 'fresh whole pumpkin', 'fresh whole butternut squash', 'fresh whole carrots', 'fresh whole apples', 'fresh whole pears', 'fresh whole zucchini', 'dried chicory root', 'fresh kale', 'fresh spinach', 'fresh turnip greens', 'fresh beet greens', 'whole cranberries', 'whole blueberries', 'whole saskatoon berries', 'turmeric', 'milk thistle', 'burdock root', 'lavender', 'marshmallow root', 'rosehips.']"
acana|acana_light_&_fit_recipe|dry,Acana,Acana Light & fit Recipe,dry,adult,"['fresh chicken', 'chicken meal', 'whole red lentils', 'whole green peas', 'lentil fibre', 'fresh chicken giblets (liver', 'heart)', 'turkey meal', 'fresh eggs', 'raw hake', 'whole chickpeas', 'whole green lentils', 'whole yellow peas', 'pea starch', 'herring meal', 'chicken fat', 'fish oil', 'raw turkey livers', 'salt', 'dried kelp', 'fresh whole pumpkin', 'fresh whole butternut squash', 'fresh whole carrots', 'fresh whole apples', 'fresh whole pears', 'fresh whole zucchini', 'dried chicory root', 'fresh kale', 'fresh spinach', 'fresh turnip greens', 'fresh beet greens', 'whole cranberries', 'whole blueberries', 'whole saskatoon berries', 'turmeric', 'milk thistle', 'burdock root', 'lavender', 'marshmallow root', 'rosehips.']"
acana|acana_prairie_poultry|dry,Acana,Acana Prairie Poultry,dry,adult,"['fresh chicken', 'chicken meal', 'pearled barley', 'whole peas', 'oat groats', 'chicken fat', 'whole oats', 'chickpea fibre', 'fish oil', 'potassium chloride', 'dried kelp', 'salt', 'dried chicory root', 'fresh whole pumpkin', 'fresh whole butternut squash', 'fresh whole carrots', 'fresh whole apples', 'fresh whole pears', 'fresh whole zucchini', 'fresh kale', 'fresh spinach', 'fresh turnip greens', 'fresh beet greens', 'whole cranberries', 'whole blueberries', 'whole saskatoon berries', 'turmeric', 'milk thistle', 'burdock root', 'lavender', 'marshmallow root', 'rosehips.']"
acana|acana_puppy_large_breed_recipe|dry,Acana,Acana Puppy Large Breed Recipe,dry,puppy,"['fresh chicken', 'chicken meal', 'whole red lentils', 'whole green peas', 'fresh chicken giblets (liver', 'heart)', 'herring meal', 'eggs', 'raw flounder', 'fish oil', 'whole chickpeas', 'pea fibre', 'pea starch', 'turkey meal', 'whole green lentils', 'whole yellow peas', 'chicken fat', 'raw turkey livers', 'salt', 'dried kelp', 'fresh whole apples', 'fresh whole butternut squash', 'fresh whole carrots', 'fresh whole pears', 'fresh whole pumpkin', 'fresh whole zucchini', 'fresh kale', 'fresh spinach', 'fresh turnip greens', 'fresh beet greens', 'fresh whole blueberries', 'fresh whole cranberries', 'fresh whole saskatoon berries', 'burdock root', 'lavender', 'marshmallow root', 'milk thistle', 'rosehips', 'turmeric']"
acana|acana_puppy_recipe|dry,Acana,Acana Puppy Recipe,dry,puppy,"['fresh chicken', 'chicken meal', 'whole red lentils', 'whole green peas', 'fresh chicken giblets (liver', 'heart)', 'chicken fat', 'turkey meal', 'eggs', 'raw flounder', 'herring meal', 'fish oil', 'whole green lentils', 'whole chickpeas', 'whole yellow peas', 'pea fibre', 'pea starch', 'raw turkey livers', 'salt', 'dried kelp', 'fresh whole pumpkin', 'fresh whole butternut squash', 'fresh whole carrots', 'fresh whole apples', 'fresh whole pears', 'fresh whole zucchini', 'dried chicory root', 'fresh kale', 'fresh spinach', 'fresh turnip greens', 'fresh beet greens', 'fresh whole cranberries', 'fresh whole blueberries', 'fresh whole saskatoon berries', 'turmeric', 'milk thistle', 'burdock root', 'lavender', 'marshmallow root', 'rosehips']"
acana|acana_puppy_small_breed_recipe|dry,Acana,Acana Puppy Small Breed Recipe,dry,puppy,"['fresh chicken', 'chicken meal', 'whole red lentils', 'whole green peas', 'fresh chicken giblets (liver', 'heart)', 'chicken fat', 'turkey meal', 'eggs', 'raw flounder', 'herring meal', 'fish oil', 'whole green lentils', 'whole chickpeas', 'whole yellow peas', 'pea fibre', 'pea starch', 'raw turkey livers', 'salt', 'dried kelp', 'fresh whole pumpkin', 'fresh whole butternut squash', 'fresh whole carrots', 'fresh whole apples', 'fresh whole pears', 'fresh whole zucchini', 'dried chicory root', 'fresh kale', 'fresh spinach', 'fresh turnip greens', 'fresh beet greens', 'fresh whole cranberries', 'fresh whole blueberries', 'fresh whole saskatoon berries', 'turmeric', 'milk thistle', 'burdock root', 'lavender', 'marshmallow root', 'rosehips']"
acana|acana_red_meat|dry,Acana,Acana Red Meat,dry,adult,"['raw beef', 'lamb meal', 'pearled barley', 'whole peas', 'oat groats', 'pork fat', 'pork meal', 'whole oats', 'chickpea fibre', 'raw pork', 'fish oil', 'potassium chloride', 'dried kelp', 'salt', 'dried chicory root', 'fresh whole pumpkin', 'fresh whole butternut squash', 'fresh whole carrots', 'fresh whole apples', 'fresh whole pears', 'fresh whole zucchini', 'fresh kale', 'fresh spinach', 'fresh turnip greens', 'fresh beet greens', 'whole cranberries', 'whole blueberries', 'whole saskatoon berries', 'turmeric', 'milk thistle', 'burdock root', 'lavender', 'marshmallow root', 'rosehips.']"
acana|acana_senior|dry,Acana,Acana Senior,dry,senior,"['fresh chicken', 'chicken meal', 'whole red lentils', 'whole green peas', 'turkey meal', 'fresh chicken giblets (liver', 'heart)', 'herring meal', 'pea fibre', 'eggs', 'raw flounder', 'fish oil', 'whole chickpeas', 'whole green lentils', 'whole yellow peas', 'pea starch', 'chicken fat', 'raw turkey liver', 'dried kelp', 'fresh whole pumpkin', 'fresh whole butternut squash', 'fresh whole carrots', 'fresh whole apples', 'fresh whole pears', 'fresh whole zucchini', 'dried chicory root', 'fresh kale', 'fresh spinach', 'fresh turnip greens', 'fresh beet greens', 'fresh whole cranberries', 'fresh whole blueberries', 'fresh whole saskatoon berries', 'turmeric', 'milk thistle', 'burdock root', 'lavender', 'marshmallow root', 'rosehips']"
acana|acana_yorkshire_pork|dry,Acana,Acana Yorkshire Pork,dry,adult,"['fresh yorkshire pork', 'pork meat meal', 'whole green peas', 'whole red lentils', 'fresh pork liver', 'pork fat', 'fresh pork kidney', 'fresh whole butternut squash', 'whole garbanzo beans', 'whole green lentils', 'whole yellow peas', 'dried pork cartilage', 'lentil fibre', 'marine algae', 'fresh whole pumpkin', 'dried brown kelp', 'salt', 'freeze-dried pork liver', 'fresh whole cranberries', 'fresh whole blueberries', 'chicory root', 'turmeric root', 'milk thistle', 'burdock root', 'lavender flowers', 'marshmallow root', 'rosehips.\r\nglucosamine* mg/kg\r\nchondroitin sulfate* mg/kg']"
acana|adult_dog_recipe|unknown,Acana,Adult Dog Recipe,,adult,[]
acana|adult_large_breed_recipe|unknown,Acana,Adult Large Breed Recipe,,adult,[]
acana|adult_small_breed_recipe|unknown,Acana,Adult Small Breed Recipe,,adult,[]
acana|free_run_duck|dry,Acana,Free Run Duck,dry,,[]
acana|grass-fed_lamb|dry,Acana,Grass-Fed Lamb,dry,,[]
acana|highest_protein_grasslands|dry,Acana,Highest Protein Grasslands,dry,,[]
acana|highest_protein_pacifica|dry,Acana,Highest Protein Pacifica,dry,,[]
acana|highest_protein_ranchlands|unknown,Acana,Highest Protein Ranchlands,,,[]
acana|highest_protein_wild_prairie|unknown,Acana,Highest Protein Wild Prairie,,,[]
acana|light__fit_recipe|dry,Acana,Light  fit Recipe,dry,,[]
acana|prairie_poultry|dry,Acana,Prairie Poultry,dry,,[]
acana|puppy_large_breed_recipe|dry,Acana,Puppy Large Breed Recipe,dry,puppy,[]
acana|puppy_recipe|dry,Acana,Puppy Recipe,dry,puppy,[]
acana|puppy_small_breed_recipe|dry,Acana,Puppy Small Breed Recipe,dry,puppy,[]
acana|red_meat|dry,Acana,Red Meat,dry,,[]
acana|senior|dry,Acana,Senior,dry,senior,[]
acana|sport__agility_recipe|unknown,Acana,Sport  Agility Recipe,,,[]
acana|wild_coast|unknown,Acana,Wild Coast,,,[]
acana|yorkshire_pork|dry,Acana,Yorkshire Pork,dry,,[]
advance_veterinary_diets|advance_maxi_adult|dry,Advance Veterinary Diets,Advance Maxi Adult,dry,adult,[]
advance_veterinary_diets|advance_maxi_light|dry,Advance Veterinary Diets,Advance Maxi Light,dry,,[]
advance_veterinary_diets|advance_maxi_puppy_protect|dry,Advance Veterinary Diets,Advance Maxi Puppy Protect,dry,puppy,[]
advance_veterinary_diets|advance_maxi_senior|dry,Advance Veterinary Diets,Advance Maxi Senior,dry,senior,[]
advance_veterinary_diets|advance_medium_adult|dry,Advance Veterinary Diets,Advance Medium Adult,dry,adult,[]
advance_veterinary_diets|advance_medium_light_chicken|dry,Advance Veterinary Diets,Advance Medium Light Chicken,dry,,[]
advance_veterinary_diets|advance_medium_puppy_protect|dry,Advance Veterinary Diets,Advance Medium Puppy Protect,dry,puppy,[]
advance_veterinary_diets|advance_medium_senior_vitality_7+|dry,Advance Veterinary Diets,Advance Medium Senior Vitality 7+,dry,senior,[]
advance_veterinary_diets|advance_mini_adult|dry,Advance Veterinary Diets,Advance Mini Adult,dry,adult,[]
advance_veterinary_diets|advance_mini_sensitive|dry,Advance Veterinary Diets,Advance Mini Sensitive,dry,,[]
advance_veterinary_diets|advance_puppy_protect_mini|dry,Advance Veterinary Diets,Advance Puppy Protect Mini,dry,puppy,[]
advance_veterinary_diets|advance_veterinary_diets_articular_care_light|dry,Advance Veterinary Diets,Advance Veterinary Diets Articular Care Light,dry,,[]
advance_veterinary_diets|advance_veterinary_diets_articular_care|dry,Advance Veterinary Diets,Advance Veterinary Diets Articular Care,dry,,[]
advance_veterinary_diets|advance_veterinary_diets_atopic_mini|dry,Advance Veterinary Diets,Advance Veterinary Diets Atopic Mini,dry,,[]
advance_veterinary_diets|advance_veterinary_diets_atopic_with_trout|dry,Advance Veterinary Diets,Advance Veterinary Diets Atopic with Trout,dry,,[]
advance_veterinary_diets|advance_veterinary_diets_diabetes|dry,Advance Veterinary Diets,Advance Veterinary Diets Diabetes,dry,,[]
advance_veterinary_diets|advance_veterinary_diets_gastroenteric_mini|dry,Advance Veterinary Diets,Advance Veterinary Diets Gastroenteric Mini,dry,,[]
advance_veterinary_diets|advance_veterinary_diets_gastroenteric|dry,Advance Veterinary Diets,Advance Veterinary Diets Gastroenteric,dry,,[]
advance_veterinary_diets|advance_veterinary_diets_hypoallergenic_mini|dry,Advance Veterinary Diets,Advance Veterinary Diets Hypoallergenic Mini,dry,,[]
advance_veterinary_diets|advance_veterinary_diets_hypoallergenic|dry,Advance Veterinary Diets,Advance Veterinary Diets Hypoallergenic,dry,,[]
advance_veterinary_diets|advance_veterinary_diets_light_articular_care|dry,Advance Veterinary Diets,Advance Veterinary Diets Light Articular Care,dry,,[]
advance_veterinary_diets|advance_veterinary_diets_renal|dry,Advance Veterinary Diets,Advance Veterinary Diets Renal,dry,,[]
advance_veterinary_diets|advance_veterinary_diets_urinary_low_purine|dry,Advance Veterinary Diets,Advance Veterinary Diets Urinary Low Purine,dry,,[]
advance_veterinary_diets|advance_veterinary_diets_urinary|dry,Advance Veterinary Diets,Advance Veterinary Diets Urinary,dry,,[]
advance_veterinary_diets|advance_veterinary_diets_weight_balance_medium/maxi|dry,Advance Veterinary Diets,Advance Veterinary Diets Weight Balance Medium/Maxi,dry,,[]
advance_veterinary_diets|advance_veterinary_diets_weight_balance_mini|dry,Advance Veterinary Diets,Advance Veterinary Diets Weight Balance Mini,dry,,[]
aldi|adult_dry_with_beef__vegetables|dry,Aldi,Adult Dry with Beef  Vegetables,dry,adult,[]
aldi|earls_beef_in_gravy|unknown,Aldi,Earls Beef in Gravy,,,[]
aldi|earls_chicken_in_gravy|unknown,Aldi,Earls Chicken in Gravy,,,[]
aldi|earls_moist__meaty_chunks_with_chicken|unknown,Aldi,Earls Moist  Meaty Chunks with Chicken,,,[]
aldi|earls_tender_pate_with_beef__liver|unknown,Aldi,Earls Tender Pate with Beef  Liver,,,[]
aldi|earls_tender_pate_with_beef|unknown,Aldi,Earls Tender Pate with Beef,,,[]
aldi|earls_tender_pate_with_lamb|unknown,Aldi,Earls Tender Pate with Lamb,,,[]
aldi|earls_tender_pate_with_turkey__lamb|unknown,Aldi,Earls Tender Pate With Turkey  Lamb,,,[]
aldi|earls_with_beef_in_jelly|unknown,Aldi,Earls with Beef in Jelly,,,[]
aldi|earls_with_chicken__vegetables|unknown,Aldi,Earls With Chicken  Vegetables,,,[]
aldi|earls_with_chicken_in_jelly|unknown,Aldi,Earls with Chicken in Jelly,,,[]
aldi|earls_worker_dog_with_chicken__vegetables|unknown,Aldi,Earls Worker Dog with Chicken  Vegetables,,,[]
aldi|langhams_salmon_grain_free|unknown,Aldi,Langhams Salmon Grain Free,,,[]
aldi|langhams_snap_and_serve_pack_mix|unknown,Aldi,Langhams Snap and Serve Pack Mix,,,[]
aldi|worker_dog_with_beef__vegetables|unknown,Aldi,Worker Dog with Beef  Vegetables,,,[]
"alpha|feeds_everyday_beef,_chicken__veg|unknown",Alpha,"Feeds Everyday Beef, Chicken  Veg",,,[]
"alpha|feeds_grain_free_chicken,_potato__veg|unknown",Alpha,"Feeds Grain Free Chicken, Potato  Veg",,,[]
alpha|feeds_junior__sporting_chicken__rice|unknown,Alpha,Feeds Junior  Sporting Chicken  Rice,,puppy,[]
alpha|feeds_performance_chicken__rice|unknown,Alpha,Feeds Performance Chicken  Rice,,,[]
alpha|feeds_sensitive_chicken__rice|unknown,Alpha,Feeds Sensitive Chicken  Rice,,,[]
alpha|feeds_sensitive_extra_duck__rice|unknown,Alpha,Feeds Sensitive Extra Duck  Rice,,,[]
alpha|feeds_sporting_puppy_chicken__rice|unknown,Alpha,Feeds Sporting Puppy Chicken  Rice,,puppy,[]
alpha|feeds_working_maintenance_beef|unknown,Alpha,Feeds Working Maintenance Beef,,adult,[]
alpha|spirit_7_days_formula-the_only_one|unknown,Alpha,Spirit 7 Days Formula-The Only One,,,[]
alpha|spirit_anchovy_with_red_apple|unknown,Alpha,Spirit Anchovy with Red Apple,,,[]
alpha|spirit_beef_with_melon|unknown,Alpha,Spirit Beef with Melon,,,[]
alpha|spirit_beef_with_sage_canned_meatballs|unknown,Alpha,Spirit Beef with Sage Canned Meatballs,,,[]
alpha|spirit_chicken_with_pineapple|unknown,Alpha,Spirit Chicken with Pineapple,,,[]
alpha|spirit_chicken_with_turmeric_canned_meatballs|unknown,Alpha,Spirit Chicken with Turmeric Canned Meatballs,,,[]
alpha|spirit_deer_with_rosemary_canned_meatballs|unknown,Alpha,Spirit Deer with Rosemary Canned Meatballs,,,[]
alpha|spirit_duck_with_green_apple|unknown,Alpha,Spirit Duck with Green Apple,,,[]
alpha|spirit_duck-the_only_one|unknown,Alpha,Spirit Duck-The Only One,,,[]
alpha|spirit_ham_with_melon|unknown,Alpha,Spirit Ham with Melon,,,[]
alpha|spirit_lamb_with_cumin_canned_meatballs|unknown,Alpha,Spirit Lamb with Cumin Canned Meatballs,,,[]
alpha|spirit_lamb_with_pear|unknown,Alpha,Spirit Lamb with Pear,,,[]
alpha|spirit_multi_protein-the_only_one|unknown,Alpha,Spirit Multi Protein-The Only One,,,[]
alpha|spirit_orygo_fresh_chicken_with_carrot|unknown,Alpha,Spirit Orygo Fresh Chicken with Carrot,,,[]
alpha|spirit_orygo_fresh_pork_with_broccoli|unknown,Alpha,Spirit Orygo Fresh Pork with Broccoli,,,[]
alpha|spirit_orygo_fresh_salmon_with_blueberry|unknown,Alpha,Spirit Orygo Fresh Salmon with Blueberry,,,[]
alpha|spirit_orygo_fresh_turkey_with_pumpkin|unknown,Alpha,Spirit Orygo Fresh Turkey with Pumpkin,,,[]
alpha|spirit_orygo_pork_pate_with_broccoli|unknown,Alpha,Spirit Orygo Pork Pate with Broccoli,,,[]
alpha|spirit_orygo_puppy_salmon__sweet_potato|unknown,Alpha,Spirit Orygo Puppy Salmon  Sweet Potato,,puppy,[]
alpha|spirit_orygo_salmon_pate_with_blueberry|unknown,Alpha,Spirit Orygo Salmon Pate with Blueberry,,,[]
alpha|spirit_orygo_senior_chicken_with_legumes|unknown,Alpha,Spirit Orygo Senior Chicken with Legumes,,senior,[]
alpha|spirit_orygo_turkey_pate_with_pumpkin|unknown,Alpha,Spirit Orygo Turkey Pate with Pumpkin,,,[]
alpha|spirit_pork_with_caraway_canned_meatballs|raw,Alpha,Spirit Pork with Caraway Canned Meatballs,raw,,[]
alpha|spirit_pork_with_yellow_apple|unknown,Alpha,Spirit Pork with Yellow Apple,,,[]
alpha|spirit_poultry-the_only_one|unknown,Alpha,Spirit Poultry-The Only One,,,[]
alpha|spirit_primal_spirit_iberian_ancestral_grassland_complete_wet_sausage|wet,Alpha,Spirit Primal Spirit Iberian Ancestral Grassland Complete Wet Sausage,wet,,[]
alpha|spirit_primal_spirit_iberian_mediterranean_farm_complete_wet_sausage|wet,Alpha,Spirit Primal Spirit Iberian Mediterranean Farm Complete Wet Sausage,wet,,[]
alpha|spirit_primal_spirit_iberian_nordic_sealand_complete_wet_sausage|wet,Alpha,Spirit Primal Spirit Iberian Nordic Sealand Complete Wet Sausage,wet,,[]
alpha|spirit_primal_spirit_iberian_pork|unknown,Alpha,Spirit Primal Spirit Iberian Pork,,,[]
alpha|spirit_primal_spirit_iberian_salmon|unknown,Alpha,Spirit Primal Spirit Iberian Salmon,,,[]
alpha|spirit_primal_spirit_iberian_sardine|unknown,Alpha,Spirit Primal Spirit Iberian Sardine,,,[]
alpha|spirit_primal_spirit_iberian_wild_forest_complete_wet_sausage|wet,Alpha,Spirit Primal Spirit Iberian Wild Forest Complete Wet Sausage,wet,,[]
alpha|spirit_primal_spirit_oceanland_fish__chicken|unknown,Alpha,Spirit Primal Spirit Oceanland Fish  Chicken,,,[]
alpha|spirit_primal_spirit_rebel_farm_chicken__fish|unknown,Alpha,Spirit Primal Spirit Rebel Farm Chicken  Fish,,,[]
alpha|spirit_primal_spirit_wanderlust_chicken__fish|unknown,Alpha,Spirit Primal Spirit Wanderlust Chicken  Fish,,,[]
alpha|spirit_primal_spirit_wild_waters_fish__chicken|unknown,Alpha,Spirit Primal Spirit Wild Waters Fish  Chicken,,,[]
"alpha|spirit_primal_spirit_wilderness_pork,_chicken__fish|unknown",Alpha,"Spirit Primal Spirit Wilderness Pork, Chicken  Fish",,,[]
alpha|spirit_puppy-the_only_one|unknown,Alpha,Spirit Puppy-The Only One,,puppy,[]
